Block Number,Trial Number,Response,Accuracy,Response Time
1,1,up,Correct,0.6126206999178976
1,2,left,InCorrect,0.7115811998955905
1,3,left,Correct,0.5621524001471698
1,4,up,Correct,0.33243080019019544
1,5,down,Correct,0.4293830001261085
1,6,right,Correct,0.3787159000057727
1,7,up,Correct,0.30738970008678734
1,8,up,Correct,0.5772333000786602
1,9,down,Correct,0.5181233999319375
1,10,right,Correct,0.3562370000872761
2,1,right,Correct,0.40877760015428066
2,2,left,Correct,0.39685040013864636
2,3,down,Correct,0.3741848000790924
2,4,up,Correct,0.36842630011960864
2,5,up,InCorrect,0.4477885998785496
2,6,right,Correct,0.386200699955225
2,7,left,Correct,0.23341999994590878
2,8,left,Correct,0.32686050003394485
2,9,right,InCorrect,0.5810554001946002
2,10,left,InCorrect,0.5674304999411106
3,1,down,InCorrect,0.5653305999003351
3,2,down,Correct,1.365274199983105
3,3,down,Correct,0.6105732000432909
3,4,right,Correct,0.9685770999640226
3,5,down,Correct,0.7838506998959929
3,6,right,Correct,0.6651363000273705
3,7,left,Correct,0.34443389996886253
3,8,up,Correct,0.5061283998657018
3,9,down,Correct,0.5122484001331031
3,10,left,Correct,0.6519188999664038
